generation_name,generation_code,generation_volume,maker_code,model_code,origin
디 올 뉴 그랜저 (22년~현재),2757,14,49,5,K
디 올 뉴 그랜저 하이브리드 (22년~현재),2758,9,49,5,K
더 뉴 그랜저 (19년~현재),2107,23,49,5,K
더 뉴 그랜저 하이브리드 (19년~현재),2108,7,49,5,K
그랜저IG (16~19년),1779,4,49,5,K
그랜저IG 하이브리드 (17~19년),1823,0,49,5,K
그랜저HG (11~17년),1332,21,49,5,K
그랜저HG 하이브리드 (13~17년),1593,0,49,5,K
더 럭셔리 그랜저 (09~11년),1193,1,49,5,K
그랜저 뉴 럭셔리 (08~10년),1444,0,49,5,K
그랜저TG (05~08년),740,2,49,5,K
뉴그랜저XG (02~05년),392,0,49,5,K
그랜저XG (98~02년),393,0,49,5,K
뉴그랜져 (92~98년),394,1,49,5,K
그랜저 (86~92년),395,0,49,5,K
더 뉴 그랜드스타렉스 (17~21년),1888,18,49,17,K
그랜드스타렉스 (07~18년),887,49,49,17,K
뉴스타렉스 (04~07년),698,1,49,17,K
스타렉스 (97~04년),407,1,49,17,K
포터2 (04년~현재),633,47,49,42,K
포터2 일렉트릭 (19년~현재),2109,0,49,42,K
뉴 포터 (96~04년),2348,0,49,42,K
포터 (86~96년),421,0,49,42,K
디 올 뉴 싼타페 (23년~현재),2798,11,49,20,K
디 올 뉴 싼타페 하이브리드 (23년~현재),2799,8,49,20,K
더 뉴 싼타페 (20~23년),2317,1,49,20,K
더 뉴 싼타페 하이브리드 (21~23년),2400,6,49,20,K
싼타페TM (18~20년),1897,5,49,20,K
싼타페 더 프라임 (15~18),1661,3,49,20,K
싼타페DM (12~15년),1503,6,49,20,K
싼타페 더스타일 (09~12년),1158,1,49,20,K
싼타페CM (05~09년),786,2,49,20,K
싼타페 (00~05년),408,0,49,20,K
쏘나타 디 엣지 (23년~현재),2780,5,49,21,K
쏘나타 디 엣지 하이브리드 (23년~현재),2781,1,49,21,K
쏘나타 DN8 (19년~현재),1985,3,49,21,K
쏘나타 하이브리드 [DN8] (19년~현재),2084,0,49,21,K
쏘나타 뉴 라이즈 (17~19년),1796,3,49,21,K
쏘나타 뉴 라이즈 하이브리드 (17~19년),1830,1,49,21,K
LF쏘나타 (14~17년),1596,4,49,21,K
LF쏘나타 하이브리드 (14~17년),1728,1,49,21,K
쏘나타 더 브릴리언트 (12~14년),1542,2,49,21,K
쏘나타 하이브리드 (11~14년),1416,1,49,21,K
YF쏘나타 (09~12년),1154,7,49,21,K
NF쏘나타 트랜스폼 (07~09년),913,0,49,21,K
NF쏘나타 (04~07년),729,0,49,21,K
뉴EF쏘나타 (01~04년),397,0,49,21,K
EF쏘나타 (98~01년),398,0,49,21,K
쏘나타3 (96~98년),399,0,49,21,K
쏘나타2 (93~96년),400,1,49,21,K
쏘나타 (85~96년),423,0,49,21,K
디 올 뉴 팰리세이드 (25년~현재),2872,7,49,960,K
더 뉴 팰리세이드 (22~25년),2722,9,49,960,K
팰리세이드 (19~22년),1953,12,49,960,K
카운티 뉴브리즈 (12년~현재),2480,0,49,31,K
카운티 일렉트릭 (12년~현재),2481,0,49,31,K
뉴 카운티 (12년~현재),1724,9,49,31,K
e-카운티 (04~12년),935,16,49,31,K
카운티 (98~04년),427,3,49,31,K
i20 (08~14년),1829,0,49,920,K
i30 PD (16년~현재),1747,0,49,1,K
더 뉴 i30 (15~16년),1653,0,49,1,K
뉴 i30 (11~15년),1446,0,49,1,K
i30 (07~11년),903,0,49,1,K
i30CW (08~11년),1031,0,49,1,K
더 뉴 i40 (15년~현재),1649,0,49,2,K
더 뉴 i40 살룬 (15년~현재),1650,0,49,2,K
i40 (11~15년),1436,1,49,2,K
i40 살룬 (12~15년),1488,0,49,2,K
갤로퍼 (91~97년),412,0,49,3,K
갤로퍼2 (97~03년),411,0,49,3,K
그라나다 (78~85년),567,0,49,4,K
뉴 그레이스 (93~04년),422,0,49,6,K
그레이스 (86~93년),2463,0,49,6,K
넥쏘 (NH2) (25년~현재),2933,0,49,946,K
넥쏘 (18년~현재),1918,1,49,946,K
다이너스티 (96~05년),391,0,49,7,K
라비타 (01~07년),416,0,49,9,K
리베로 (00~07년),425,1,49,10,K
마르샤 (95~98년),396,0,49,11,K
올 뉴 마이티 (15년~현재),1818,5,49,12,K
e마이티 (04~15년),1302,2,49,12,K
마이티2 (98~04년),1301,0,49,12,K
마이티 (87~98년),424,0,49,12,K
더 뉴 맥스크루즈 (15~19년),1674,0,49,788,K
맥스크루즈 (13~16년),1554,1,49,788,K
베뉴 (19년~현재),2074,3,49,974,K
베라크루즈 (06~15년),840,4,49,13,K
베르나 트랜스폼 (09~10년),1202,0,49,14,K
베르나 (신형) (05~09년),2464,0,49,14,K
뉴 베르나 (02~05년),568,0,49,14,K
베르나 (99~02년),403,0,49,14,K
벨로스터 N (18년~22년),2407,1,49,15,K
벨로스터 [JS] (18년~현재),1896,1,49,15,K
더 뉴 벨로스터 (15~18년),1688,1,49,15,K
벨로스터 (11~15년),1391,0,49,15,K
블루온 (10~11년),2446,0,49,1104,K
뉴 스쿠프 (92~95년),2086,0,49,16,K
스쿠프 (90~92년),420,0,49,16,K
스타리아 일렉트릭 (26년~현재),2960,0,49,1078,K
더 뉴 스타리아 (25년~현재),2950,0,49,1078,K
스타리아 (21년~현재),2380,15,49,1078,K
스텔라 (83~97년),573,0,49,18,K
싼타모 (95~02년),406,0,49,19,K
쏠라티 (15년~현재),1684,3,49,870,K
더 뉴 아반떼 [CN7] (23년~현재),2767,3,49,22,K
더 뉴 아반떼 하이브리드 [CN7] (23년~현재),2768,1,49,22,K
더 뉴 아반떼 N (23년~현재),2791,0,49,22,K
아반떼 N (21년~현재),2408,2,49,22,K
올 뉴 아반떼 [CN7] (20년~23년),2295,1,49,22,K
올 뉴 아반떼 하이브리드 [CN7] (20년~23년),2326,1,49,22,K
더 뉴 아반떼AD (18~20년),1934,2,49,22,K
아반떼AD (15~18년),1668,8,49,22,K
더 뉴 아반떼 (13~15년),1598,3,49,22,K
아반떼 쿠페 (13~15년),1557,0,49,22,K
아반떼MD (10~14년),1254,5,49,22,K
아반떼 LPi 하이브리드 (09~13년),1070,0,49,22,K
아반떼HD (06~10년),839,1,49,22,K
뉴아반떼XD (03~06년),570,0,49,22,K
아반떼XD (00~03년),401,0,49,22,K
올뉴아반떼 (98~00년),574,0,49,22,K
아반떼 (95~98년),402,0,49,22,K
아슬란 (14~18년),1624,1,49,820,K
더 뉴 아이오닉 하이브리드 (19년~현재),1970,0,49,871,K
아이오닉 하이브리드 (16~19년),1686,2,49,871,K
더 뉴 아이오닉 일렉트릭 (19년~현재),1995,0,49,871,K
아이오닉 일렉트릭 (16~19년),1819,0,49,871,K
더 뉴 아이오닉 플러그인 (19년~현재),1971,0,49,871,K
아이오닉 플러그인 (16~19년),1871,0,49,871,K
더 뉴 아이오닉 5 (24년~현재),2828,0,49,1080,K
아이오닉5 (21~24년),2387,2,49,1080,K
아이오닉 5 N (23년~현재),2804,0,49,1080,K
더 뉴 아이오닉 6 (25년~현재),2917,0,49,1259,K
아이오닉6 (22~25년),2747,2,49,1259,K
아이오닉 6 N (26년~현재),2937,0,49,1259,K
아이오닉9 (25년~현재),2883,0,49,1308,K
아토스 (97~02년),405,0,49,23,K
e-에어로타운 (04년~현재),886,4,49,24,K
뉴 슈퍼에어로시티 (08년~현재),1931,0,49,24,K
슈퍼에어로시티 (01~08년),982,0,49,24,K
뉴에어로,1373,0,49,24,K
에어로스페이스 (95~10년),1169,0,49,24,K
에어로타운 (94~04년),936,0,49,24,K
뉴 에쿠스 (09~15년),1056,12,49,25,K
에쿠스 (99~09년),390,0,49,25,K
엑센트 (신형) (10~19년),1314,4,49,26,K
뉴 엑센트 (97~99년),2472,0,49,26,K
엑센트 (94~97년),417,0,49,26,K
엑셀 (89~94년),419,1,49,27,K
뉴 엘란트라 (93~95년),418,0,49,28,K
엘란트라 (90~93년),1904,0,49,28,K
더 뉴 제네시스 쿠페 (11~16년),1463,1,49,30,K
제네시스 쿠페 (08~11년),1012,2,49,30,K
제네시스 DH (13~16년),1589,5,49,30,K
제네시스 (08~14년),933,10,49,30,K
더 뉴 캐스퍼 (24년~현재),2864,1,49,1090,K
캐스퍼 (21~24년),2417,2,49,1090,K
캐스퍼 일렉트릭 (24년~현재),2859,0,49,1090,K
디 올 뉴 코나 (23년~현재),2763,3,49,922,K
디 올 뉴 코나 하이브리드 (23년~현재),2764,0,49,922,K
디 올 뉴 코나 일렉트릭 (23년~현재),2779,0,49,922,K
코나 N (21년~현재),2402,0,49,922,K
더 뉴 코나 (20년~현재),2345,0,49,922,K
더 뉴 코나 하이브리드 (20년~현재),2344,0,49,922,K
코나 (17~20년),1835,5,49,922,K
코나 하이브리드 (19~20년),2088,0,49,922,K
코나 일렉트릭 (18년~현재),1924,3,49,922,K
코러스 (88~07년),426,0,49,32,K
코티나 (68~71년),578,0,49,33,K
뉴 코티나 (71~76년),1988,0,49,33,K
뉴 클릭 (05~10년),916,0,49,34,K
클릭 하이브리드 (04~06년),1566,0,49,34,K
클릭 (02~05년),404,0,49,34,K
캠핑카,866,0,49,778,K
테라칸 (01~07년),410,1,49,35,K
뉴 투스카니 (06~08년),841,1,49,36,K
투스카니 (01~06년),413,2,49,36,K
더 뉴 투싼 (23년~현재),2818,1,49,37,K
더 뉴 투싼 하이브리드 (23년~현재),2819,0,49,37,K
디 올 뉴 투싼 (20~23년),2343,3,49,37,K
디 올 뉴 투싼 하이브리드 (20~23년),2403,5,49,37,K
올 뉴 투싼 (15~20년),1646,1,49,37,K
뉴 투싼ix (13~15년),1564,1,49,37,K
투싼ix (09~13년),1153,2,49,37,K
투싼 (04~09년),630,0,49,37,K
트라고 (06~13년),1306,0,49,38,K
엑시언트 프로 (19년~현재),2415,0,49,1088,K
엑시언트 (15년~19년),2414,0,49,1088,K
트라고 엑시언트 (13~15년),2413,0,49,1088,K
트라제XG (99~07년),409,0,49,39,K
뉴 파워트럭 (04년~현재),1361,0,49,777,K
메가트럭,995,0,49,777,K
슈퍼트럭 (97~04년),1310,0,49,777,K
티뷰론터뷸런스 (99~01년),415,0,49,40,K
티뷰론 (96~99년),414,0,49,40,K
포니2 (82~90),1697,0,49,41,K
포니 (75~85),429,0,49,41,K
포레스트 (20년~현재),2333,0,49,1063,K
프레스토 (85~86년),579,0,49,43,K
파비스 (19년~현재),2482,0,49,1120,K
그린시티 (10년~현재),2484,0,49,1121,K
글로벌900 (02~10년),2485,0,49,1121,K
유니버스,908,1,49,29,K
유니시티 (11년~현재),2486,0,49,1122,K
RB버스 (77~91년),2316,0,49,1054,K
ST1 (24년~현재),2839,0,49,1288,K
90A,1307,0,49,772,K
91A,1305,0,49,772,K
기타,599,0,49,772,K
더 뉴 G70 (20년~현재),2346,8,1010,935,K
더 뉴 G70 슈팅브레이크 (22년~현재),2829,0,1010,935,K
G70 (17~20년),1875,5,1010,935,K
G80 [RG3] (23년~현재),2821,7,1010,893,K
뉴 일렉트리파이드 G80 (24년~현재),2862,0,1010,893,K
더 올 뉴 G80 (20~23년),2301,40,1010,893,K
일렉트리파이드 G80 (21~24년),2453,0,1010,893,K
G80 (16년~20년),1720,12,1010,893,K
G90 2세대 (21년~현재),2466,21,1010,958,K
G90 1세대 (18년~현재),1951,17,1010,958,K
GV60 마그마 (26년~현재),2955,0,1010,1108,K
뉴 GV60 (25년~현재),2888,0,1010,1108,K
GV60 (21~24년),2451,0,1010,1108,K
뉴 GV70 (24년~현재),2841,2,1010,1070,K
GV70 (21~24년),2364,18,1010,1070,K
뉴 일렉트리파이드 GV7 (25년~현재),2881,0,1010,1070,K
일렉트리파이드 GV70 (22~24년),2705,0,1010,1070,K
GV80 쿠페 (23년~현재),2810,1,1010,1032,K
GV80 (20년~현재),2211,43,1010,1032,K
EQ900 (15~18년),1699,9,1010,879,K
더 뉴 카니발 4세대 (23년~현재),2812,74,3,76,K
카니발 4세대 (20~23년),2327,48,3,76,K
더 뉴 카니발 (18~20년),1902,10,3,76,K
올 뉴 카니발 (14~18년),1606,14,3,76,K
그랜드 카니발 R (10~14년),2496,6,3,76,K
뉴 카니발 R (10~14년),2495,4,3,76,K
그랜드 카니발 (05~10년),773,1,3,76,K
뉴 카니발 (06~10년),831,0,3,76,K
카니발2 (01~05년),36,0,3,76,K
카니발 (98~01년),37,0,3,76,K
더 뉴 봉고3 (19년~현재),2093,9,3,59,K
봉고3 EV (20년~현재),2213,1,3,59,K
봉고3 (04~19년),634,38,3,59,K
봉고 프론티어 (98~04년),63,0,3,59,K
와이드 봉고 (89~97년),48,0,3,59,K
봉고 (80~89년),820,0,3,59,K
더 뉴 쏘렌토 4세대 (23년~현재),2800,3,3,69,K
더 뉴 쏘렌토 4세대 하이브리드 (23년~현재),2801,4,3,69,K
쏘렌토 4세대 (20년~현재),2296,3,3,69,K
쏘렌토 4세대 하이브리드 (20년~현재),2401,18,3,69,K
더 뉴 쏘렌토 (17~20년),1843,4,3,69,K
올 뉴 쏘렌토 (14~17년),1619,7,3,69,K
뉴 쏘렌토R (12~14년),1522,1,3,69,K
쏘렌토R (09~12년),1058,2,3,69,K
뉴 쏘렌토 (06~09년),959,0,3,69,K
쏘렌토 (02~06년),41,0,3,69,K
더 뉴 K5 3세대 (23년~현재),2815,4,3,44,K
더 뉴 K5 하이브리드 3세대 (23년~현재),2816,3,3,44,K
K5 3세대 (19~23년),2105,6,3,44,K
K5 하이브리드 3세대 (19~23년),2106,1,3,44,K
더 뉴 K5 2세대 (18~20년),1893,0,3,44,K
더 뉴 K5 하이브리드 2세대 (18~19년),1912,0,3,44,K
K5 2세대 (15~18년),1662,4,3,44,K
K5 하이브리드 2세대 (15~18년),1729,0,3,44,K
더 뉴 K5 (13~15년),1574,2,3,44,K
K5 (10~13년),1238,3,3,44,K
K5 하이브리드 (11~15년),1417,0,3,44,K
더 뉴 K8 (24년~현재),2855,3,3,1079,K
