maker_name,maker_code,maker_volume,origin
현대,49,464,K
제네시스,1010,182,K
기아,3,434,K
쉐보레/대우,8,80,K
르노코리아(삼성),26,72,K
KG모빌리티(쌍용),31,59,K
어울림모터스,1000,0,K
기타 국산차,85,1,K
벤츠,21,557,I
포르쉐,43,281,I
BMW,1,195,I
페라리,41,181,I
롤스로이스,16,103,I
벤틀리,22,87,I
람보르기니,11,86,I
아우디,32,50,I
폭스바겐,44,11,I
렉서스,13,14,I
미니,97,13,I
BYD,1023,0,I
DS,1021,0,I
GMC,77,25,I
닛산,5,6,I
다이하쓰,6,1,I
닷지,7,27,I
동펑,1014,0,I
란치아,10,0,I
랜드로버,12,78,I
로버,14,1,I
로터스,15,10,I
르노,61,0,I
링컨,17,3,I
마이바흐,1016,7,I
마세라티,18,22,I
마쯔다,19,2,I
맥라렌,1003,26,I
머큐리,60,0,I
모건,1022,1,I
미쓰비시,20,1,I
미쯔오카,82,2,I
볼보,23,10,I
북기은상,1009,0,I
부가티,88,1,I
뷰익,24,0,I
비이스만,99,0,I
사브,25,3,I
선롱,1025,0,I
새턴,94,0,I
스마트,1015,2,I
쉐보레,29,30,I
스바루,27,1,I
스즈키,28,8,I
스카니아,103,0,I
스파이커,93,0,I
시트로엥,30,1,I
알파로메오,33,1,I
알핀,1020,1,I
애스턴마틴,62,27,I
어큐라,95,0,I
오펠,34,0,I
오스틴,1011,0,I
올즈모빌,35,0,I
웨스트필드,83,0,I
이네오스,1024,1,I
이베코,1013,2,I
이스즈,36,0,I
인피니티,81,3,I
재규어,37,23,I
지프,96,26,I
캐딜락,38,25,I
코닉세크,89,0,I
크라이슬러,39,5,I
테슬라,1006,15,I
토요타,9,23,I
파가니,84,0,I
포드,42,49,I
포톤,1008,0,I
폰티악,45,0,I
폴스타,1019,1,I
푸조,46,4,I
피스커,91,0,I
피아트,47,5,I
허머,48,12,I
혼다,50,5,I
홀덴,76,0,I
히노,1012,0,I
기타 수입차,4,14,I
