model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
현대 i40 1.7 디젤 왜건 PYL,/mycar/mycar_view.php?no=2255878&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255878&gubun=K,False,580.0,현대 i40 1.7 디젤 왜건 PYL,580.0,False,,,,2013.10 (14년형),141083.0,디젤,자동,은색,1685.0,
현대 디 올 뉴 그랜저 2.5 2WD  익스클루시브,/mycar/mycar_view.php?no=2253465&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253465&gubun=K,True,200.0,현대 디 올 뉴 그랜저 2.5 2WD  익스클루시브,200.0,True,200.0,63.0,60 / 60,2025.10 (26년형),1200.0,가솔린,자동,검정색,2497.0,
현대 디 올 뉴 그랜저 2.5 2WD 프리미엄,/mycar/mycar_view.php?no=2250573&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2250573&gubun=K,False,3500.0,현대 디 올 뉴 그랜저  2.5 2WD 프리미엄,3500.0,False,,,,2025.07 (26년형),274.0,가솔린,자동,진회색 (녹턴그레이),2497.0,
현대 디 올 뉴 그랜저 2.5 2WD  캘리그래피,/mycar/mycar_view.php?no=2256762&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256762&gubun=K,False,3900.0,현대 디 올 뉴 그랜저 2.5 2WD  캘리그래피,3900.0,False,,,,2023.09,26237.0,가솔린,자동,흰색,2497.0,
현대 디 올 뉴 그랜저 3.5 2WD 캘리그래피,/mycar/mycar_view.php?no=2256955&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256955&gubun=K,False,4180.0,현대 디 올 뉴 그랜저 3.5 2WD 캘리그래피,4180.0,False,,,,2024.12 (25년형),11598.0,가솔린,자동,검정색,3470.0,
현대 디 올 뉴 그랜저 2.5 2WD 캘리그래피,/mycar/mycar_view.php?no=2257266&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257266&gubun=K,False,4130.0,현대 디 올 뉴 그랜저 2.5 2WD 캘리그래피,4130.0,False,,,,2024.10 (25년형),10356.0,가솔린,자동,흰색,2497.0,
현대 디 올 뉴 그랜저 2.5 2WD  프리미엄,/mycar/mycar_view.php?no=2256142&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256142&gubun=K,True,0.0,현대 디 올 뉴 그랜저 2.5 2WD  프리미엄,0.0,True,,74.0,60 / 60,2023.06,20319.0,가솔린,자동,검정색,2497.0,
현대 디 올 뉴 그랜저 2.5 2WD  아너스,/mycar/mycar_view.php?no=2257160&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257160&gubun=K,True,0.0,현대 디 올 뉴 그랜저 2.5 2WD  아너스,0.0,True,,90.0,60 / 60,2026.01,30.0,가솔린,자동,검정색,2497.0,
현대 디 올 뉴 그랜저 2.5 2WD  프리미엄,/mycar/mycar_view.php?no=2257300&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257300&gubun=K,True,0.0,현대 디 올 뉴 그랜저 2.5 2WD  프리미엄,0.0,True,,82.0,60 / 60,2026.01,30.0,가솔린,자동,흰색,2497.0,
현대 디 올 뉴 그랜저 3.5 LPG 2WD 프리미엄,/mycar/mycar_view.php?no=2253528&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253528&gubun=K,True,350.0,현대 디 올 뉴 그랜저 3.5 LPG 2WD 프리미엄,350.0,True,,83.0,60 / 60,2025.10 (26년형),50.0,LPG,자동,흰색,3470.0,
현대 디 올 뉴 그랜저 2.5 2WD  캘리그래피,/mycar/mycar_view.php?no=2251865&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2251865&gubun=K,True,0.0,현대 디 올 뉴 그랜저 2.5 2WD  캘리그래피,0.0,True,,72.0,60 / 60,2025.04,20.0,가솔린,자동,검정색,2497.0,
현대 디 올 뉴 그랜저 2.5 2WD 익스클루시브,/mycar/mycar_view.php?no=2256668&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256668&gubun=K,True,400.0,현대 디 올 뉴 그랜저 2.5 2WD 익스클루시브,400.0,True,400.0,60.0,47 / 60,2024.12 (25년형),12000.0,가솔린,자동,검정색,2497.0,
현대 디 올 뉴 그랜저 2.5 2WD 캘리그래피,/mycar/mycar_view.php?no=2256869&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256869&gubun=K,False,4150.0,현대 디 올 뉴 그랜저 2.5 2WD 캘리그래피,4150.0,False,,,,2024.10 (25년형),11515.0,가솔린,자동,검정색,2497.0,
현대 디 올 뉴 그랜저 3.5 LPG 2WD 익스클루시브,/mycar/mycar_view.php?no=2256288&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256288&gubun=K,False,3850.0,현대 디 올 뉴 그랜저 3.5 LPG 2WD 익스클루시브,3850.0,False,,,,2024.09,30030.0,LPG,자동,검정색,3470.0,
현대 디 올 뉴 그랜저 2.5 2WD 캘리그래피,/mycar/mycar_view.php?no=2253719&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253719&gubun=K,False,4100.0,현대 디 올 뉴 그랜저  2.5 2WD 캘리그래피,4100.0,False,,,,2025.04,3200.0,가솔린,자동,흰색,2497.0,
현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 익스클루시브,/mycar/mycar_view.php?no=2253500&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253500&gubun=K,False,3950.0,현대 디 올 뉴 그랜저 하이브리드  1.6 터보 HEV 익스클루시브,3950.0,False,,,,2024.01,8101.0,가솔린 하이브리드,자동,검정색,1598.0,
현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  익스클루시브,/mycar/mycar_view.php?no=2257068&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257068&gubun=K,True,300.0,현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  익스클루시브,300.0,True,300.0,74.0,29 / 48,2024.06,45000.0,가솔린 하이브리드,자동,검정색,1598.0,
현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 캘리그래피,/mycar/mycar_view.php?no=2256407&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256407&gubun=K,True,300.0,현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 캘리그래피,300.0,True,300.0,79.0,53 / 60,2025.06 (26년형),13000.0,가솔린 하이브리드,자동,흰색,1598.0,
현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  프리미엄,/mycar/mycar_view.php?no=2252588&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252588&gubun=K,True,0.0,현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  프리미엄,0.0,True,,62.0,60 / 60,2025.09 (26년형),10.0,가솔린 하이브리드,자동,흰색,1598.0,
현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  프리미엄,/mycar/mycar_view.php?no=2252811&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252811&gubun=K,True,0.0,현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  프리미엄,0.0,True,,62.0,60 / 60,2025.09 (26년형),10.0,가솔린 하이브리드,자동,검정색,1598.0,
현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  캘리그래피,/mycar/mycar_view.php?no=2255806&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255806&gubun=K,True,300.0,현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  캘리그래피,300.0,True,300.0,72.0,48 / 48,2025.12 (26년형),1760.0,가솔린 하이브리드,자동,검정색,1598.0,
현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 캘리그래피,/mycar/mycar_view.php?no=2252247&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252247&gubun=K,True,200.0,현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 캘리그래피,200.0,True,200.0,80.0,46 / 60,2024.12 (25년형),14500.0,가솔린 하이브리드,자동,검정색,1598.0,
현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 캘리그래피,/mycar/mycar_view.php?no=2256560&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256560&gubun=K,False,3800.0,현대 디 올 뉴 그랜저 하이브리드  1.6 터보 HEV 캘리그래피,3800.0,False,,,,2023.06,66400.0,가솔린 하이브리드,자동,흰색,1598.0,
현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  캘리그래피,/mycar/mycar_view.php?no=2254299&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254299&gubun=K,True,0.0,현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV  캘리그래피,0.0,True,,,54 / 60,2025.05,2650.0,가솔린 하이브리드,자동,검정색,1598.0,
현대 더 뉴 그랜저 2.5 프리미엄,/mycar/mycar_view.php?no=2255060&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255060&gubun=K,False,2399.0,현대 더 뉴 그랜저  2.5 프리미엄,2399.0,False,,,,2022.05,91729.0,가솔린,자동,흰색,2497.0,
현대 더 뉴 그랜저 2.5 프리미엄,/mycar/mycar_view.php?no=2255061&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255061&gubun=K,False,2499.0,현대 더 뉴 그랜저  2.5 프리미엄,2499.0,False,,,,2022.06 (23년형),70897.0,가솔린,자동,흰색,2497.0,
현대 더 뉴 그랜저 2.5 르블랑,/mycar/mycar_view.php?no=2255922&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255922&gubun=K,False,2699.0,현대 더 뉴 그랜저  2.5 르블랑,2699.0,False,,,,2021.11 (22년형),73122.0,가솔린,자동,청색,2497.0,
현대 더 뉴 그랜저 2.5 캘리그래피,/mycar/mycar_view.php?no=2253779&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253779&gubun=K,False,3170.0,현대 더 뉴 그랜저 2.5 캘리그래피,3170.0,False,,,,2020.08,49227.0,가솔린,자동,흰색,2497.0,
현대 더 뉴 그랜저 2.5 익스클루시브,/mycar/mycar_view.php?no=2256564&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256564&gubun=K,False,2970.0,현대 더 뉴 그랜저 2.5 익스클루시브,2970.0,False,,,,2020.01,36656.0,가솔린,자동,흰색,2497.0,
현대 더 뉴 그랜저 2.5 캘리그래피,/mycar/mycar_view.php?no=2254415&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254415&gubun=K,False,3030.0,현대 더 뉴 그랜저 2.5 캘리그래피,3030.0,False,,,,2020.02,44016.0,가솔린,자동,흰색,2497.0,
현대 더 뉴 그랜저 2.5 익스클루시브,/mycar/mycar_view.php?no=2254534&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254534&gubun=K,False,2550.0,현대 더 뉴 그랜저 2.5 익스클루시브,2550.0,False,,,,2020.04,56324.0,가솔린,자동,흰색,2497.0,
현대 더 뉴 그랜저 2.5  캘리그래피,/mycar/mycar_view.php?no=2254733&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254733&gubun=K,False,2390.0,현대 더 뉴 그랜저 2.5  캘리그래피,2390.0,False,,,,2019.12 (20년형),67548.0,가솔린,자동,흰색,2497.0,
현대 더 뉴 그랜저 2.5 르블랑,/mycar/mycar_view.php?no=2255627&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255627&gubun=K,False,2820.0,현대 더 뉴 그랜저 2.5 르블랑,2820.0,False,,,,2022.07 (23년형),48675.0,가솔린,자동,검정색,2497.0,
