"car_spec_id","maker_id","model_name","body_type","generation_name","model_year","trim_name","drivetrain_type","fuel_type","fuel_efficiency","displacement_cc","transmission","special_note"
"436","1","i40","세단","i40 (11~15년)","11~15년","","미상","디젤","0.0","1685","1",""
"437","1","그랜저","세단","디 올 뉴","22년~현재","","전륜","LPG","0.0","3470","1",""
"438","1","그랜저","세단","디 올 뉴 그랜저","22년~현재","","미상","가솔린 하이브리드","0.0","1598","1",""
"439","1","그랜저","세단","더 뉴","19년~현재","","미상","가솔린","0.0","2497","1",""
"440","1","그랜저","세단","더 뉴 그랜저","19년~현재","","미상","가솔린 하이브리드","0.0","2359","1",""
"441","1","그랜저","세단","그랜저IG (16~19년)","16~19년","","미상","가솔린","0.0","2359","1",""
"442","1","그랜저","세단","그랜저HG (11~17년)","11~17년","","미상","가솔린","0.0","2359","1",""
"443","1","그랜저","세단","더 럭셔리","09~11년","","미상","가솔린","0.0","2656","1",""
"444","1","그랜저","세단","그랜저TG (05~08년)","05~08년","","미상","가솔린","0.0","2656","1",""
"445","1","그랜저","세단","뉴그랜져 (92~98년)","92~98년","","미상","가솔린","0.0","1997","1",""
"446","1","넥쏘","세단","넥쏘 (18년~현재)","18년~현재","","미상","수소","0.0","0","1",""
"447","1","맥스크루즈","세단","맥스크루즈 (13~16년)","13~16년","","사륜","디젤","0.0","2199","1",""
"448","1","베라크루즈","세단","베라크루즈 (06~15년)","06~15년","","사륜","디젤","0.0","2959","1",""
"449","1","벨로스터","세단","벨로스터","18년~22년","","미상","가솔린","0.0","1998","0",""
"450","1","벨로스터","세단","벨로스터 (18년~현재)","18년~현재","","미상","가솔린","0.0","1591","1",""
"451","1","벨로스터","세단","더 뉴","15~18년","","미상","가솔린","0.0","1591","1",""
"452","1","스타렉스","세단","더 뉴","17~21년","","사륜","디젤","0.0","2497","1","캠핑/확장 차량"
"453","1","스타렉스","세단","그랜드스타렉스 (07~18년)","07~18년","","전륜","디젤","0.0","2497","1",""
"454","1","스타렉스","세단","뉴스타렉스 (04~07년)","04~07년","","미상","디젤","0.0","2476","1","캠핑/확장 차량"
"455","1","스타렉스","세단","스타렉스 (97~04년)","97~04년","","미상","디젤","0.0","2476","1","캠핑/확장 차량"
"456","1","싼타페","SUV","디 올 뉴","23년~현재","","전륜","가솔린","0.0","2497","1",""
"457","1","싼타페","SUV","디 올 뉴 싼타페","23년~현재","","전륜","가솔린 하이브리드","0.0","1598","1",""
"458","1","싼타페","SUV","더 뉴","20~23년","","사륜","디젤","0.0","2151","1",""
"459","1","싼타페","SUV","더 뉴 싼타페","21~23년","","전륜","가솔린 하이브리드","0.0","1598","1",""
"460","1","싼타페","SUV","싼타페TM (18~20년)","18~20년","","전륜","디젤","0.0","1995","1",""
"461","1","싼타페","SUV","싼타페 더","15~18","","전륜","디젤","0.0","1995","1",""
"462","1","싼타페","SUV","싼타페DM (12~15년)","12~15년","","전륜","디젤","0.0","1995","1",""
"463","1","싼타페","SUV","싼타페","09~12년","","전륜","디젤","0.0","1995","1",""
"464","1","싼타페","SUV","싼타페CM (05~09년)","05~09년","","전륜","디젤","0.0","1995","1",""
"465","1","쏘나타","세단","쏘나타 디","23년~현재","","미상","LPG","0.0","1999","1",""
"466","1","쏘나타","경차","쏘나타 디 엣지","23년~현재","","미상","가솔린 하이브리드","0.0","1999","1",""
"467","1","쏘나타","세단","쏘나타","19년~현재","","미상","LPG","0.0","1999","1",""
"468","1","쏘나타","세단","쏘나타 뉴","17~19년","","미상","가솔린","0.0","1591","1",""
"469","1","쏘나타","세단","쏘나타 뉴 라이즈","17~19년","","미상","가솔린 하이브리드","0.0","1999","1",""
"470","1","쏘나타","세단","LF쏘나타 (14~17년)","14~17년","","미상","디젤","0.0","1685","1",""
"471","1","쏘나타","세단","LF쏘나타","14~17년","","미상","가솔린 하이브리드","0.0","1999","1",""
"472","1","쏘나타","세단","쏘나타 더","12~14년","","미상","가솔린","0.0","1999","1",""
"473","1","쏘나타","세단","쏘나타","11~14년","","미상","가솔린 하이브리드","0.0","1999","1",""
"474","1","쏘나타","세단","YF쏘나타 (09~12년)","09~12년","","미상","LPG","0.0","1998","1",""
"475","1","쏘나타","세단","쏘나타2 (93~96년)","93~96년","","미상","가솔린","0.0","1796","0",""
"476","1","아반떼","세단","더 뉴","23년~현재","","미상","가솔린","0.0","1598","1",""
"477","1","아반떼","경차","더 뉴 아반떼","23년~현재","","미상","가솔린 하이브리드","0.0","1580","1",""
"478","1","아반떼","세단","아반떼","21년~현재","","미상","가솔린","0.0","1998","1",""
"479","1","아반떼","경차","올 뉴","20년~23년","","미상","가솔린","0.0","1598","1",""
"480","1","아반떼","세단","올 뉴 아반떼","20년~23년","","미상","가솔린 하이브리드","0.0","1580","1",""
"481","1","아반떼","세단","더 뉴","18~20년","","미상","가솔린","0.0","1598","1",""
"482","1","아반떼","세단","아반떼AD (15~18년)","15~18년","","미상","가솔린","0.0","1591","1",""
"483","1","아반떼","세단","더 뉴","13~15년","","미상","가솔린","0.0","1591","1",""
"484","1","아반떼","세단","아반떼MD (10~14년)","10~14년","","미상","가솔린","0.0","1591","1",""
"485","1","아반떼","세단","아반떼HD (06~10년)","06~10년","","미상","가솔린","0.0","1591","1",""
"486","1","쏠라티","승합차","쏠라티 (15년~현재)","15년~현재","","미상","디젤","0.0","2497","1",""
"487","1","아슬란","세단","아슬란 (14~18년)","14~18년","","미상","가솔린","0.0","2999","1",""
"488","1","아이오닉","세단","아이오닉","16~19년","","미상","가솔린 하이브리드","0.0","1580","1",""
"489","1","코나","세단","디 올 뉴","23년~현재","","전륜","가솔린","0.0","1598","1",""
"490","1","코나","세단","코나 (17~20년)","17~20년","","전륜","가솔린","0.0","1591","1",""
"491","1","코나","세단","코나","18년~현재","","전륜","전기","0.0","180","1",""
"492","1","에쿠스","세단","뉴","09~15년","","미상","가솔린","0.0","3778","1",""
"493","1","엑센트","세단","엑센트","10~19년","","미상","디젤","0.0","1582","1",""
"494","1","엑셀","세단","엑셀 (89~94년)","89~94년","","미상","가솔린","0.0","1468","0",""
"495","1","제네시스","세단","더 뉴 제네시스","11~16년","","미상","가솔린","0.0","1998","1",""
"496","1","제네시스","세단","제네시스","08~11년","","미상","가솔린","0.0","1998","1",""
"497","1","제네시스","세단","제네시스","13~16년","","사륜","가솔린","0.0","3342","1",""
"498","1","제네시스","세단","제네시스 (08~14년)","08~14년","","미상","가솔린","0.0","3342","1",""
"499","1","투싼","SUV","더 뉴","23년~현재","","전륜","가솔린","0.0","1598","1",""
"500","1","투싼","SUV","디 올 뉴","20~23년","","사륜","가솔린","0.0","1598","1",""
"501","1","투싼","SUV","디 올 뉴 투싼","20~23년","","미상","가솔린 하이브리드","0.0","1598","1",""
"502","1","투싼","SUV","올 뉴","15~20년","","전륜","디젤","0.0","1685","1",""
"503","1","투싼","SUV","투싼ix (09~13년)","09~13년","","전륜","디젤","0.0","1995","1",""
"504","1","테라칸","세단","테라칸 (01~07년)","01~07년","","사륜","디젤","0.0","2902","1",""
"505","1","투스카니","세단","뉴","06~08년","","미상","가솔린","0.0","1975","1",""
"506","1","투스카니","세단","투스카니 (01~06년)","01~06년","","미상","가솔린","0.0","1975","0",""
"507","1","카운티","승합차","뉴","12년~현재","","미상","디젤","0.0","3933","0","캠핑/확장 차량"
"508","1","카운티","승합차","e-카운티 (04~12년)","04~12년","","미상","디젤","0.0","3933","0","캠핑/확장 차량"
"509","1","카운티","승합차","카운티 (98~04년)","98~04년","","미상","디젤","0.0","3907","0","캠핑/확장 차량"
"510","1","팰리세이드","세단","디 올 뉴","25년~현재","","사륜","가솔린 하이브리드","0.0","2497","1",""
"511","1","팰리세이드","세단","더 뉴","22~25년","","사륜","가솔린","0.0","3778","1",""
"512","1","팰리세이드","세단","팰리세이드 (19~22년)","19~22년","","전륜","가솔린","0.0","3778","1",""
"513","1","포터","화물차","포터2 (04년~현재)","04년~현재","","미상","디젤","0.0","2497","1",""
"514","1","에어로","세단","e-에어로타운 (04년~현재)","04년~현재","","미상","디젤","0.0","5899","0",""
"515","1","리베로","세단","리베로 (00~07년)","00~07년","","미상","디젤","0.0","2476","0",""
"516","1","마이티","세단","올 뉴","15년~현재","","미상","디젤","0.0","3933","0",""
"517","1","마이티","화물차","e마이티 (04~15년)","04~15년","","미상","디젤","0.0","2497","0",""
"518","1","유니버스","버스","유니버스","유니버스","","미상","디젤","0.0","12742","0",""
"519","1","베뉴","세단","베뉴 (19년~현재)","19년~현재","","미상","가솔린","0.0","1598","1",""
"520","1","스타리아","RV","스타리아 (21년~현재)","21년~현재","","미상","가솔린 하이브리드","0.0","1598","1",""
"521","1","아이오닉5","세단","아이오닉5 (21~24년)","21~24년","","미상","전기","0.0","111","1",""
"522","1","캐스퍼","경차","더 뉴","24년~현재","","미상","가솔린","0.0","998","1",""
"523","1","캐스퍼","경차","캐스퍼 (21~24년)","21~24년","","미상","가솔린","0.0","998","1",""
"524","1","아이오닉6","세단","아이오닉6 (22~25년)","22~25년","","미상","전기","0.0","111","1",""
"525","2","G70","세단","더 뉴","20년~현재","","미상","가솔린","0.0","2497","1",""
"526","2","G70","세단","G70 (17~20년)","17~20년","","사륜","가솔린","0.0","3342","1",""
"527","2","G80","세단","G80 (23년~현재)","23년~현재","","사륜","가솔린","0.0","2497","1",""
"528","2","G80","세단","더 올 뉴","20~23년","","사륜","가솔린","0.0","2497","1",""
"529","2","G80","세단","G80 (16년~20년)","16년~20년","","사륜","가솔린","0.0","3342","1",""
"530","2","G90","세단","G90","21년~현재","","사륜","가솔린","0.0","3470","1",""
"531","2","G90","승합차","G90","18년~현재","","사륜","가솔린","0.0","5038","1",""
"532","2","EQ900","세단","EQ900 (15~18년)","15~18년","","사륜","가솔린","0.0","3778","1",""
"533","2","GV80","SUV","GV80","23년~현재","","사륜","가솔린","0.0","3470","1",""
"534","2","GV80","SUV","GV80 (20년~현재)","20년~현재","","사륜","가솔린","0.0","2497","1",""
"535","2","GV70","SUV","뉴","24년~현재","","미상","가솔린","0.0","2497","1",""
"536","2","GV70","SUV","GV70 (21~24년)","21~24년","","사륜","가솔린","0.0","2497","1",""
"537","3","K3","세단","더 뉴","21년~현재","","미상","가솔린","14.1","1598","1",""
"538","3","K3","세단","올 뉴","18~21년","","미상","가솔린","15.2","1598","1",""
"539","3","K3","세단","더 뉴","15~18년","","미상","가솔린","13.3","1591","1",""
"540","3","K3","세단","K3 (12~15년)","12~15년","","미상","디젤","16.2","1582","1",""
"541","3","K3","세단","K3","13~16년","","미상","가솔린","14.0","1591","1",""
"542","3","K5","세단","더 뉴 K5","23년~현재","","미상","가솔린","11.9","1999","1",""
"543","3","K5","세단","더 뉴 K5 하이브리드","23년~현재","","미상","가솔린 하이브리드","18.8","1999","1",""
"544","3","K5","세단","K5","19~23년","","미상","가솔린","13.0","1999","1",""
"545","3","K5","세단","K5 하이브리드","19~23년","","미상","가솔린 하이브리드","20.1","1999","1",""
"546","3","K5","세단","K5","15~18년","","미상","가솔린","13.0","1998","1",""
"547","3","K5","세단","더 뉴","13~15년","","미상","가솔린","0.0","1999","1",""
"548","3","K5","세단","K5 (10~13년)","10~13년","","미상","가솔린","0.0","1998","1",""
"549","3","K7","세단","K7","19~21년","","미상","가솔린","11.6","2497","1",""
"550","3","K7","세단","K7 프리미어","19~21년","","미상","가솔린 하이브리드","16.2","2359","1",""
"551","3","K7","세단","올 뉴","16~19년","","미상","가솔린","10.0","3342","1",""
"552","3","K7","세단","더 뉴","12~16년","","미상","LPG","8.2","2999","1",""
"553","3","K7","세단","더 프레스티지","11~12년","","미상","가솔린","12.8","2359","1",""
"554","3","K7","세단","K7 (09~11년)","09~11년","","미상","가솔린","11.8","2359","1",""
"555","3","K9","세단","더 뉴","21년~현재","","사륜","가솔린","8.3","3778","1",""
"556","3","K9","세단","더","18년~현재","","사륜","가솔린","8.3","3778","1",""
"557","3","K9","세단","K9 (12~14년)","12~14년","","미상","가솔린","9.6","3342","1",""
"558","3","니로","세단","디 올 뉴","22년~현재","","미상","가솔린 하이브리드","20.8","1580","1",""
"559","3","니로","세단","더 뉴","19년~현재","","미상","가솔린 하이브리드","19.5","1580","1",""
"560","3","니로","세단","니로 (16~19년)","16~19년","","미상","가솔린 하이브리드","19.5","1580","1",""
"561","3","니로","세단","니로","18~22년","","미상","전기","0.0","180","1",""
"562","3","레이","경차","더 뉴 기아","22년~현재","","미상","가솔린","13.0","998","1",""
"563","3","레이","경차","더 뉴 기아 레이","23년~현재","","미상","전기","0.0","134","1",""
"564","3","레이","승합차","더 뉴","17~22년","","미상","가솔린","13.0","998","1",""
"565","3","레이","경차","레이 (11~17년)","11~17년","","미상","가솔린","17.0","998","1",""
"566","3","그랜버드","버스","뉴","07년~현재","","미상","디젤","0.0","12742","0","캠핑/확장 차량"
"567","3","로체","세단","로체","08~10년","","미상","LPG","9.1","1998","1",""
"568","3","모닝","경차","모닝","20년~현재","","미상","가솔린","15.7","998","1",""
"569","3","모닝","경차","올 뉴","17~20년","","미상","가솔린","16.0","998","1",""
"570","3","모닝","경차","더 뉴","15~17년","","미상","가솔린","0.0","998","1",""
"571","3","모닝","경차","올 뉴","11~15년","","미상","가솔린","0.0","998","1",""
"572","3","모닝","경차","뉴모닝 (08~11년)","08~11년","","미상","가솔린","20.0","999","1",""
"573","3","모닝","경차","모닝 (04~08년)","04~08년","","미상","가솔린","0.0","999","1",""
"574","3","봉고","화물차","더 뉴","19년~현재","","미상","LPG","0.0","2469","1",""
"575","3","봉고","화물차","봉고3","20년~현재","","미상","디젤","10.0","2497","1",""
"576","3","봉고","화물차","봉고3 (04~19년)","04~19년","","미상","디젤","0.0","2497","0",""
"577","3","모하비","세단","모하비 더","19년~현재","","사륜","디젤","9.4","2959","1",""
"578","3","모하비","세단","더 뉴","16년~19년","","사륜","디젤","9.6","2959","1",""
"579","3","모하비","세단","모하비 (07~16년)","07~16년","","사륜","디젤","10.2","2959","1",""
"580","3","스포티지","SUV","더 뉴","24년~현재","","전륜","가솔린","0.0","1598","1",""
"581","3","스포티지","SUV","더 뉴 스포티지","24년~현재","","전륜","가솔린 하이브리드","0.0","1598","1",""
"582","3","스포티지","SUV","디 올 뉴","21년~현재","","전륜","디젤","14.0","1998","1",""
"583","3","스포티지","SUV","디 올 뉴 스포티지","21년~현재","","미상","가솔린 하이브리드","16.7","1598","1",""
"584","3","스포티지","SUV","스포티지 더","18년~현재","","전륜","가솔린","10.5","1999","1",""
"585","3","스포티지","SUV","스포티지","15~18년","","전륜","가솔린","10.3","1999","1",""
"586","3","스포티지","SUV","더 뉴","13~16년","","전륜","디젤","13.8","1995","1",""
"587","3","스포티지","SUV","스포티지R (10~13년)","10~13년","","전륜","가솔린","12.1","1998","1",""
"588","3","스팅어","세단","스팅어","20년~현재","","미상","가솔린","11.2","2497","1",""
"589","3","스팅어","세단","스팅어 (17~20년)","17~20년","","미상","가솔린","8.8","3342","1",""
