"used_car_id","car_spec_id","price","listing_url","is_lease","mileage_km","color_name","car_age_months","listing_no","maker_name","model_name","generation_name"
"1","540","699","https://bobaedream.co.kr/mycar/mycar_view.php?no=2252112&gubun=K","0","132701","빨간색","138","2252112","기아","K3","K3 (12~15년)"
"2","547","990","https://bobaedream.co.kr/mycar/mycar_view.php?no=2254754&gubun=K","0","91249","검정색","138","2254754","기아","K5","더 뉴"
"3","547","660","https://bobaedream.co.kr/mycar/mycar_view.php?no=2255987&gubun=K","0","134942","흰색","150","2255987","기아","K5","더 뉴"
"4","548","490","https://bobaedream.co.kr/mycar/mycar_view.php?no=2256881&gubun=K","0","190557","검정색","187","2256881","기아","K5","K5 (10~13년)"
"5","548","460","https://bobaedream.co.kr/mycar/mycar_view.php?no=2254391&gubun=K","0","115906","흰색","172","2254391","기아","K5","K5 (10~13년)"
"6","576","380","https://bobaedream.co.kr/mycar/mycar_view.php?no=2256466&gubun=K","0","119816","흰색","212","2256466","기아","봉고","봉고3 (04~19년)"
"7","576","440","https://bobaedream.co.kr/mycar/mycar_view.php?no=2257425&gubun=K","0","254902","흰색","139","2257425","기아","봉고","봉고3 (04~19년)"
"8","576","710","https://bobaedream.co.kr/mycar/mycar_view.php?no=2257422&gubun=K","0","115378","흰색","121","2257422","기아","봉고","봉고3 (04~19년)"
"9","576","1050","https://bobaedream.co.kr/mycar/mycar_view.php?no=2255772&gubun=K","0","87026","흰색","110","2255772","기아","봉고","봉고3 (04~19년)"
"10","576","660","https://bobaedream.co.kr/mycar/mycar_view.php?no=2252202&gubun=K","0","190000","청색","131","2252202","기아","봉고","봉고3 (04~19년)"
"11","576","699","https://bobaedream.co.kr/mycar/mycar_view.php?no=2253250&gubun=K","0","182000","청색","130","2253250","기아","봉고","봉고3 (04~19년)"
"12","576","550","https://bobaedream.co.kr/mycar/mycar_view.php?no=2253251&gubun=K","0","283000","청색","143","2253251","기아","봉고","봉고3 (04~19년)"
"13","576","850","https://bobaedream.co.kr/mycar/mycar_view.php?no=2254282&gubun=K","0","182151","흰색","117","2254282","기아","봉고","봉고3 (04~19년)"
"14","576","1499","https://bobaedream.co.kr/mycar/mycar_view.php?no=2254556&gubun=K","0","63500","흰색","104","2254556","기아","봉고","봉고3 (04~19년)"
"15","576","550","https://bobaedream.co.kr/mycar/mycar_view.php?no=2255338&gubun=K","0","211374","흰색","160","2255338","기아","봉고","봉고3 (04~19년)"
"16","576","1399","https://bobaedream.co.kr/mycar/mycar_view.php?no=2255312&gubun=K","0","139865","청색","94","2255312","기아","봉고","봉고3 (04~19년)"
"17","576","1180","https://bobaedream.co.kr/mycar/mycar_view.php?no=2256512&gubun=K","0","188000","청색","94","2256512","기아","봉고","봉고3 (04~19년)"
"18","576","599","https://bobaedream.co.kr/mycar/mycar_view.php?no=2256833&gubun=K","0","198000","흰색","160","2256833","기아","봉고","봉고3 (04~19년)"
"19","576","499","https://bobaedream.co.kr/mycar/mycar_view.php?no=2257069&gubun=K","0","258000","청색","166","2257069","기아","봉고","봉고3 (04~19년)"
