model_name,model_code,model_volume,maker_code,origin
그랜저,5,80,49,K
스타렉스,17,68,49,K
포터,42,46,49,K
싼타페,20,42,49,K
쏘나타,21,29,49,K
팰리세이드,960,28,49,K
카운티,31,28,49,K
i20,920,0,49,K
i30,1,0,49,K
i40,2,1,49,K
갤로퍼,3,0,49,K
그라나다,4,0,49,K
그레이스,6,0,49,K
넥쏘,946,1,49,K
다이너스티,7,0,49,K
라비타,9,0,49,K
리베로,10,1,49,K
마르샤,11,0,49,K
마이티,12,7,49,K
맥스크루즈,788,1,49,K
베뉴,974,3,49,K
베라크루즈,13,4,49,K
베르나,14,0,49,K
벨로스터,15,3,49,K
블루온,1104,0,49,K
스쿠프,16,0,49,K
스타리아,1078,15,49,K
스텔라,18,0,49,K
싼타모,19,0,49,K
쏠라티,870,3,49,K
아반떼,22,27,49,K
아슬란,820,1,49,K
아이오닉,871,2,49,K
아이오닉5,1080,2,49,K
아이오닉6,1259,2,49,K
아이오닉9,1308,0,49,K
아토스,23,0,49,K
에어로,24,4,49,K
에쿠스,25,13,49,K
엑센트,26,4,49,K
엑셀,27,1,49,K
엘란트라,28,0,49,K
제네시스,30,17,49,K
캐스퍼,1090,2,49,K
코나,922,11,49,K
코러스,32,0,49,K
코티나,33,0,49,K
클릭,34,0,49,K
캠핑카,778,0,49,K
테라칸,35,1,49,K
투스카니,36,3,49,K
투싼,37,12,49,K
트라고,38,0,49,K
엑시언트,1088,0,49,K
트라제XG,39,0,49,K
트럭,777,0,49,K
티뷰론,40,0,49,K
포니,41,0,49,K
포레스트,1063,0,49,K
프레스토,43,0,49,K
파비스,1120,0,49,K
그린시티,1121,0,49,K
유니버스,29,1,49,K
유니시티,1122,0,49,K
RB버스,1054,0,49,K
ST1,1288,0,49,K
기타,772,0,49,K
G70,935,13,1010,K
G80,893,60,1010,K
G90,958,38,1010,K
GV60,1108,0,1010,K
GV70,1070,18,1010,K
GV80,1032,45,1010,K
EQ900,879,9,1010,K
카니발,76,154,3,K
봉고,59,47,3,K
쏘렌토,69,45,3,K
K5,44,23,3,K
K8,1079,21,3,K
모하비,56,19,3,K
스포티지,67,19,3,K
EV3,1293,0,3,K
EV4,1310,0,3,K
EV5,1324,0,3,K
EV6,1086,1,3,K
EV9,1275,0,3,K
K3,762,8,3,K
K7,45,17,3,K
K9,46,13,3,K
PV5,1327,0,3,K
X-트렉,47,0,3,K
그랜버드,48,1,3,K
니로,880,8,3,K
라이노,49,0,3,K
레이,50,18,3,K
레토나,51,0,3,K
로체,52,1,3,K
록스타,53,0,3,K
리오,54,0,3,K
모닝,55,13,3,K
베스타,57,0,3,K
복사,58,0,3,K
브리사,60,0,3,K
비스토,61,0,3,K
세레스,62,0,3,K
세이블,63,0,3,K
세피아,64,0,3,K
셀토스,973,7,3,K
슈마,65,0,3,K
스토닉,928,0,3,K
스팅어,919,3,3,K
스펙트라,66,0,3,K
쎄라토,68,0,3,K
쏘울,70,3,3,K
아벨라,71,0,3,K
엔터프라이즈,72,1,3,K
엘란,73,0,3,K
오피러스,74,1,3,K
옵티마,75,0,3,K
카렌스,77,2,3,K
카스타,78,0,3,K
캐피탈,79,0,3,K
캠핑카,780,0,3,K
코스모스,88,1,3,K
콤비,89,0,3,K
콩코드,90,0,3,K
크레도스,91,0,3,K
타스만,1307,1,3,K
타우너,92,0,3,K
타이탄,93,0,3,K
텔루라이드,1049,0,3,K
토픽,94,0,3,K
트럭,779,0,3,K
트레이드,95,0,3,K
파맥스,96,0,3,K
파크타운,97,0,3,K
포르테,98,2,3,K
포텐샤,99,2,3,K
프라이드,100,1,3,K
프레지오,101,0,3,K
피아트 132,102,0,3,K
기타,773,1,3,K
말리부,82,13,8,K
기타,774,11,8,K
스파크,83,10,8,K
올란도,85,7,8,K
크루즈,87,7,8,K
레스타,129,6,8,K
트랙스,787,4,8,K
볼트,1110,1,8,K
볼트(VOLT),914,0,8,K
아베오,84,0,8,K
이쿼녹스,943,1,8,K
임팔라,862,1,8,K
카마로,983,4,8,K
콜로라도,982,1,8,K
콜벳,984,0,8,K
캡티바,86,3,8,K
타호,1261,0,8,K
트래버스,981,0,8,K
트레일블레이저,1033,2,8,K
G2X,103,0,8,K
구쎈,1119,0,8,K
넥시아,104,0,8,K
누비라,105,0,8,K
다마스,106,1,8,K
더쎈,1117,0,8,K
라노스,107,0,8,K
라보,108,1,8,K
라세티,109,0,8,K
레간자,110,0,8,K
레조,111,0,8,K
로얄살롱,112,0,8,K
르망,113,1,8,K
마티즈,114,1,8,K
매그너스,115,0,8,K
맥쎈,1118,0,8,K
맵시,782,0,8,K
맵시나,116,0,8,K
바네트,117,0,8,K
베리타스,118,0,8,K
브로엄,119,0,8,K
수퍼살롱,120,0,8,K
스테이츠맨,121,0,8,K
씨에로,122,0,8,K
아카디아,123,0,8,K
알페온,124,1,8,K
에스페로,125,1,8,K
윈스톰,126,0,8,K
임페리얼,127,0,8,K
젠트라,128,0,8,K
칼로스,130,0,8,K
토스카,131,0,8,K
트럭,781,0,8,K
티코,132,0,8,K
프리마,133,1,8,K
프린스,134,2,8,K
SM3,135,8,26,K
SM5,136,17,26,K
SM6,877,8,26,K
SM7,137,4,26,K
QM3,806,4,26,K
QM5,138,5,26,K
QM6,904,8,26,K
XM3,1046,2,26,K
그랑 콜레오스,1299,1,26,K
필랑트,1339,0,26,K
마스터,954,14,26,K
세닉,1323,0,26,K
아르카나,1287,1,26,K
야무진,139,0,26,K
조에,1064,0,26,K
캡처,1051,0,26,K
클리오,942,0,26,K
트럭,783,0,26,K
트위지,930,0,26,K
기타,775,0,26,K
렉스턴,140,17,31,K
로디우스,141,0,31,K
무쏘,142,1,31,K
액티언,143,1,31,K
이스타나,144,0,31,K
체어맨,145,4,31,K
카이런,146,0,31,K
칼리스타,147,2,31,K
코란도,148,22,31,K
코란도(EV),1114,0,31,K
토레스,1247,6,31,K
티볼리,830,6,31,K
트럭,784,0,31,K
기타,776,0,31,K
스피라,80,0,1000,K
전기차,1069,0,85,K
캠핑카,865,0,85,K
캠핑 트레일러,866,0,85,K
기타,81,1,85,K
A클래스,353,9,21,I
B클래스 (마이비),354,0,21,I
C클래스,355,7,21,I
E클래스,356,58,21,I
CLA클래스,807,3,21,I
CLE클래스,1283,5,21,I
CLK클래스,369,0,21,I
