origin,maker_code,model_code,generation_code,grade_code,grade_name,grade_volume,term_code,term_name,term_volume
K,49,5,2757,18081,2.5 2WD,11,39552.0,프리미엄,3.0
K,49,5,2757,18081,2.5 2WD,11,39553.0,익스클루시브,2.0
K,49,5,2757,18081,2.5 2WD,11,41161.0,아너스,1.0
K,49,5,2757,18081,2.5 2WD,11,39554.0,캘리그래피,5.0
K,49,5,2757,18081,2.5 2WD,11,41162.0,캘리그래피(블랙익스테리어),0.0
K,49,5,2757,18081,2.5 2WD,11,41163.0,캘리그래피(블랙잉크),0.0
K,49,5,2757,18082,3.5 2WD,1,39555.0,프리미엄,0.0
K,49,5,2757,18082,3.5 2WD,1,39556.0,익스클루시브,0.0
K,49,5,2757,18082,3.5 2WD,1,41164.0,아너스,0.0
K,49,5,2757,18082,3.5 2WD,1,39557.0,캘리그래피,1.0
K,49,5,2757,18082,3.5 2WD,1,41165.0,캘리그래피 (블랙익스테리어),0.0
K,49,5,2757,18082,3.5 2WD,1,41166.0,캘리그래피 (블랙잉크),0.0
K,49,5,2757,18083,3.5 4WD,0,,,
K,49,5,2757,18084,3.5 LPG 2WD,2,39561.0,프리미엄,1.0
K,49,5,2757,18084,3.5 LPG 2WD,2,39562.0,익스클루시브,1.0
K,49,5,2757,18085,3.5 LPG 2WD (장애인용),0,,,
K,49,5,2757,18086,3.5 LPG 2WD (택시형),0,,,
K,49,5,2758,18087,1.6 터보 HEV,9,39566.0,프리미엄,2.0
K,49,5,2758,18087,1.6 터보 HEV,9,39567.0,익스클루시브,2.0
K,49,5,2758,18087,1.6 터보 HEV,9,41158.0,아너스,0.0
K,49,5,2758,18087,1.6 터보 HEV,9,39568.0,캘리그래피,5.0
K,49,5,2758,18087,1.6 터보 HEV,9,41159.0,캘리그래피(블랙익스테리어),0.0
K,49,5,2758,18087,1.6 터보 HEV,9,41160.0,캘리그래피(블랙잉크),0.0
K,49,5,2107,14347,2.5,20,31995.0,프리미엄,2.0
K,49,5,2107,14347,2.5,20,31996.0,프리미엄 초이스,2.0
K,49,5,2107,14347,2.5,20,34466.0,르블랑,4.0
K,49,5,2107,14347,2.5,20,31997.0,익스클루시브,4.0
K,49,5,2107,14347,2.5,20,31998.0,캘리그래피,8.0
K,49,5,2107,14348,3.3,1,31999.0,프리미엄,0.0
K,49,5,2107,14348,3.3,1,32000.0,프리미엄 초이스,0.0
K,49,5,2107,14348,3.3,1,34467.0,르블랑,0.0
K,49,5,2107,14348,3.3,1,32001.0,익스클루시브,0.0
K,49,5,2107,14348,3.3,1,32002.0,캘리그래피,1.0
K,49,5,2107,14349,3.0 LPi,0,,,
K,49,5,2107,14350,3.0 LPi (장애인용),1,32006.0,프리미엄 플러스,1.0
K,49,5,2107,14350,3.0 LPi (장애인용),1,32007.0,익스클루시브 플러스,0.0
K,49,5,2107,14351,3.0 LPi (렌터카용),0,,,
K,49,5,2107,15861,3.0 LPi (택시형),0,,,
K,49,5,2108,14352,2.4 HEV,8,32011.0,프리미엄,1.0
K,49,5,2108,14352,2.4 HEV,8,33372.0,프리미엄 초이스,0.0
K,49,5,2108,14352,2.4 HEV,8,34468.0,르블랑,2.0
K,49,5,2108,14352,2.4 HEV,8,32012.0,익스클루시브,1.0
K,49,5,2108,14352,2.4 HEV,8,32013.0,캘리그래피,4.0
K,49,5,1779,12889,2.2 디젤,0,,,
K,49,5,1779,12887,2.4,2,27917.0,모던,0.0
K,49,5,1779,12887,2.4,2,27918.0,프리미엄,2.0
K,49,5,1779,12887,2.4,2,27919.0,프리미엄 스페셜,0.0
K,49,5,1779,12887,2.4,2,30963.0,익스클루시브 스페셜,0.0
K,49,5,1779,12887,2.4,2,36773.0,모던 베이직  IG (렌터카),0.0
K,49,5,1779,12888,3.0,0,,,
K,49,5,1779,13507,3.3,0,,,
K,49,5,1779,18811,3.5 아제라(수출형),0,,,
K,49,5,1779,12890,3.0 LPi,2,27925.0,모던,2.0
K,49,5,1779,12890,3.0 LPi,2,27926.0,익스클루시브,0.0
K,49,5,1779,12890,3.0 LPi,2,27927.0,익스클루시브 스페셜,0.0
K,49,5,1779,16806,3.0 LPi (장애인용),0,,,
K,49,5,1779,16804,3.0 LPi (렌터카용),0,,,
K,49,5,1779,16805,3.0 LPi (택시형),0,,,
K,49,5,1823,13323,2.4 HEV,0,,,
K,49,5,1332,11896,220 디젤,1,25356.0,모던,0.0
K,49,5,1332,11896,220 디젤,1,29846.0,모던 컬렉션,0.0
K,49,5,1332,11896,220 디젤,1,25357.0,프리미엄,1.0
K,49,5,1332,11896,220 디젤,1,29845.0,프리미엄 컬렉션,0.0
K,49,5,1332,10037,240,14,21717.0,럭셔리,9.0
K,49,5,1332,10037,240,14,24485.0,모던,5.0
K,49,5,1332,10037,240,14,28086.0,모던 컬렉션,0.0
K,49,5,1332,10037,240,14,27028.0,스페셜,0.0
K,49,5,1332,10037,240,14,41352.0,아제라(수출형),0.0
K,49,5,1332,10038,300,2,21719.0,프라임,1.0
K,49,5,1332,10038,300,2,21718.0,노블,0.0
K,49,5,1332,10038,300,2,21720.0,로얄,0.0
K,49,5,1332,10038,300,2,24651.0,프리미엄,0.0
K,49,5,1332,10038,300,2,29847.0,프리미엄 컬렉션,0.0
K,49,5,1332,10038,300,2,24649.0,익스클루시브,1.0
K,49,5,1332,10038,300,2,25457.0,익스클루시브 스페셜,0.0
K,49,5,1332,10038,300,2,29844.0,익스클루시브 컬렉션,0.0
K,49,5,1332,10038,300,2,29848.0,더 타임리스,0.0
K,49,5,1332,10038,300,2,41354.0,아제라(수출형),0.0
K,49,5,1332,12743,300 구조변경 (가솔린),0,,,
K,49,5,1332,10614,330,0,,,
K,49,5,1332,10742,300 LPi,4,22950.0,프라임,0.0
K,49,5,1332,10742,300 LPi,4,22951.0,이그제큐티브,0.0
K,49,5,1332,10742,300 LPi,4,25047.0,모던,2.0
K,49,5,1332,10742,300 LPi,4,24698.0,프리미엄,1.0
K,49,5,1332,10742,300 LPi,4,27011.0,익스클루시브,1.0
K,49,5,1332,16072,300 LPi (장애인용),0,,,
K,49,5,1332,15967,300 LPi (택시형),0,,,
K,49,5,1593,11766,2.4 HEV,0,,,
K,49,5,1193,6381,Q240,0,,,
K,49,5,1193,6382,Q270,1,12976.0,디럭스,0.0
K,49,5,1193,6382,Q270,1,12977.0,럭셔리,1.0
K,49,5,1193,6382,Q270,1,12979.0,럭셔리 스마트팩,0.0
K,49,5,1193,6382,Q270,1,13996.0,럭셔리 알칸타라팩,0.0
K,49,5,1193,6382,Q270,1,12980.0,프리미어,0.0
K,49,5,1193,6382,Q270,1,12981.0,프리미어 스마트팩,0.0
K,49,5,1193,6382,Q270,1,13997.0,프리미어 알칸타라팩,0.0
K,49,5,1193,6382,Q270,1,14860.0,24주년 스페셜에디션 럭셔리I,0.0
K,49,5,1193,6382,Q270,1,23029.0,24주년 스페셜에디션 럭셔리II,0.0
K,49,5,1193,6382,Q270,1,23028.0,탑,0.0
K,49,5,1193,6383,L330,0,,,
K,49,5,1193,15971,3.8 아제라 (수출형),0,,,
K,49,5,1193,8638,Q270 LPi,0,,,
K,49,5,1193,16073,Q270 LPi (장애인용),0,,,
K,49,5,1444,10771,Q240,0,,,
K,49,5,1444,10772,Q270,0,,,
K,49,5,1444,10773,L330,0,,,
K,49,5,1444,15975,3.8 아제라(수출형),0,,,
K,49,5,1444,10774,Q270 LPi,0,,,
K,49,5,1444,16074,Q270 LPi (장애인용),0,,,
K,49,5,740,5207,Q240,0,,,
K,49,5,740,5206,Q270,2,8134.0,기본형,0.0
K,49,5,740,5206,Q270,2,8133.0,기본형 플러스팩,0.0
K,49,5,740,5206,Q270,2,8131.0,디럭스,1.0
K,49,5,740,5206,Q270,2,8157.0,디럭스 모젠팩,0.0
K,49,5,740,5206,Q270,2,8130.0,럭셔리,0.0
K,49,5,740,5206,Q270,2,8129.0,럭셔리 스마트팩,0.0
K,49,5,740,5206,Q270,2,8154.0,럭셔리 모젠팩,0.0
K,49,5,740,5206,Q270,2,8153.0,럭셔리 모젠 스마트팩,0.0
K,49,5,740,5206,Q270,2,8128.0,프리미어,0.0
K,49,5,740,5206,Q270,2,8127.0,프리미어 스마트팩,0.0
K,49,5,740,5206,Q270,2,8150.0,프리미어 모젠팩,0.0
K,49,5,740,5206,Q270,2,8145.0,프리미어 모젠 스마트팩,0.0
K,49,5,740,5206,Q270,2,11347.0,프리미어 40주년 스페셜 팩,0.0
K,49,5,740,5206,Q270,2,41362.0,아제라(수출형),1.0
