brand,model,year,price_krw,mileage_km,fuel_type,transmission,body_type,displacement_cc,link
현대,기아 올 뉴 카렌스 1.7 디젤 5인승 디럭스,2013,4690000.0,146555,디젤,자동,,1685140,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2252478&gubun=K
현대,기아 K7 2.4 디럭스 스페셜,2010,2990000.0,102286,가솔린,자동,,2359180,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2253633&gubun=K
현대,기아 더 뉴 K5  2.0 럭셔리 트렌디,2014,9900000.0,91249,가솔린,자동,,1999172,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2254754&gubun=K
현대,기아 올 뉴 쏘렌토  2.2 디젤 2WD 노블레스 스페셜,2015,16900000.0,151516,디젤,자동,,2199202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256314&gubun=K
현대,기아 더 뉴 스포티지R  2.0 디젤 2WD 노블레스,2014,6900000.0,181557,디젤,자동,,1995184,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2248639&gubun=K
현대,기아 레이  1.0 프레스티지,2012,6900000.0,102701,가솔린,자동,,99878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2252795&gubun=K
현대,기아 그랜드 카니발 R 2.2 디젤 GLX 프리미엄,2013,3490000.0,134740,디젤,자동,,2199197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2254539&gubun=K
현대,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 시그니처,2024,2500000.0,2700,가솔린 하이브리드,자동,,1598230,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2228580&gubun=K
현대,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,2024,2500000.0,3500,가솔린 하이브리드,자동,,1598230,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2229617&gubun=K
현대,기아 디 올 뉴 스포티지 1.6 터보 2WD 노블레스,2023,2500000.0,6800,가솔린,자동,,1598180,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2231030&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 7인승 그래비티,2024,2500000.0,2500,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2232280&gubun=K
