용도코드,용도명,차종코드,차종명,규모코드,규모명,연도코드,연도,연식구간코드,연식구간명,지표코드,지표명,값
0001,전체,0001,합계,0001,합계,Y2024 2024,,0010,합계,M0010,검사대수,13621817.0
0001,전체,0001,합계,0001,합계,Y2024 2024,,0010,합계,M0011,부적합률,21.44
0001,전체,0001,합계,0001,합계,Y2024 2024,,0020,4년 이하,M0010,검사대수,3308184.0
0001,전체,0001,합계,0001,합계,Y2024 2024,,0020,4년 이하,M0011,부적합률,9.63
0001,전체,0001,합계,0001,합계,Y2024 2024,,0030,5~6년,M0010,검사대수,1013083.0
0001,전체,0001,합계,0001,합계,Y2024 2024,,0030,5~6년,M0011,부적합률,13.76
0001,전체,0001,합계,0001,합계,Y2024 2024,,0040,7~8년,M0010,검사대수,2014368.0
0001,전체,0001,합계,0001,합계,Y2024 2024,,0040,7~8년,M0011,부적합률,17.22
0001,전체,0001,합계,0001,합계,Y2024 2024,,0050,9~10년,M0010,검사대수,1918489.0
0001,전체,0001,합계,0001,합계,Y2024 2024,,0050,9~10년,M0011,부적합률,22.43
0001,전체,0001,합계,0001,합계,Y2024 2024,,0060,11~12년,M0010,검사대수,1680662.0
0001,전체,0001,합계,0001,합계,Y2024 2024,,0060,11~12년,M0011,부적합률,28.41
0001,전체,0001,합계,0001,합계,Y2024 2024,,0070,13~14년,M0010,검사대수,1429061.0
0001,전체,0001,합계,0001,합계,Y2024 2024,,0070,13~14년,M0011,부적합률,32.05
0001,전체,0001,합계,0001,합계,Y2024 2024,,0080,15년 이상,M0010,검사대수,2257966.0
0001,전체,0001,합계,0001,합계,Y2024 2024,,0080,15년 이상,M0011,부적합률,33.2
0001,전체,0001,합계,0001,합계,Y2024 2024,,0090,기타,M0010,검사대수,4.0
0001,전체,0001,합계,0001,합계,Y2024 2024,,0090,기타,M0011,부적합률,75.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0010,합계,M0010,검사대수,999425.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0010,합계,M0011,부적합률,24.03
0001,전체,0001,합계,0002,경형,Y2024 2024,,0020,4년 이하,M0010,검사대수,157146.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0020,4년 이하,M0011,부적합률,12.6
0001,전체,0001,합계,0002,경형,Y2024 2024,,0030,5~6년,M0010,검사대수,64685.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0030,5~6년,M0011,부적합률,13.98
0001,전체,0001,합계,0002,경형,Y2024 2024,,0040,7~8년,M0010,검사대수,148646.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0040,7~8년,M0011,부적합률,14.88
0001,전체,0001,합계,0002,경형,Y2024 2024,,0050,9~10년,M0010,검사대수,169150.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0050,9~10년,M0011,부적합률,19.77
0001,전체,0001,합계,0002,경형,Y2024 2024,,0060,11~12년,M0010,검사대수,173145.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0060,11~12년,M0011,부적합률,29.62
0001,전체,0001,합계,0002,경형,Y2024 2024,,0070,13~14년,M0010,검사대수,150020.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0070,13~14년,M0011,부적합률,34.78
0001,전체,0001,합계,0002,경형,Y2024 2024,,0080,15년 이상,M0010,검사대수,136633.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0080,15년 이상,M0011,부적합률,38.28
0001,전체,0001,합계,0002,경형,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0001,합계,0002,경형,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0010,합계,M0010,검사대수,2598155.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0010,합계,M0011,부적합률,27.06
0001,전체,0001,합계,0005,소형,Y2024 2024,,0020,4년 이하,M0010,검사대수,793340.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0020,4년 이하,M0011,부적합률,13.34
0001,전체,0001,합계,0005,소형,Y2024 2024,,0030,5~6년,M0010,검사대수,206568.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0030,5~6년,M0011,부적합률,22.8
0001,전체,0001,합계,0005,소형,Y2024 2024,,0040,7~8년,M0010,검사대수,380232.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0040,7~8년,M0011,부적합률,28.51
0001,전체,0001,합계,0005,소형,Y2024 2024,,0050,9~10년,M0010,검사대수,350115.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0050,9~10년,M0011,부적합률,30.75
0001,전체,0001,합계,0005,소형,Y2024 2024,,0060,11~12년,M0010,검사대수,290675.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0060,11~12년,M0011,부적합률,35.34
0001,전체,0001,합계,0005,소형,Y2024 2024,,0070,13~14년,M0010,검사대수,232478.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0070,13~14년,M0011,부적합률,39.46
0001,전체,0001,합계,0005,소형,Y2024 2024,,0080,15년 이상,M0010,검사대수,344746.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0080,15년 이상,M0011,부적합률,40.48
0001,전체,0001,합계,0005,소형,Y2024 2024,,0090,기타,M0010,검사대수,1.0
0001,전체,0001,합계,0005,소형,Y2024 2024,,0090,기타,M0011,부적합률,100.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0010,합계,M0010,검사대수,6545202.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0010,합계,M0011,부적합률,21.27
0001,전체,0001,합계,0003,중형,Y2024 2024,,0020,4년 이하,M0010,검사대수,1383188.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0020,4년 이하,M0011,부적합률,8.88
0001,전체,0001,합계,0003,중형,Y2024 2024,,0030,5~6년,M0010,검사대수,471640.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0030,5~6년,M0011,부적합률,12.1
0001,전체,0001,합계,0003,중형,Y2024 2024,,0040,7~8년,M0010,검사대수,945322.0
0001,전체,0001,합계,0003,중형,Y2024 2024,,0040,7~8년,M0011,부적합률,15.25
